pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
-19.5,-18.5,90.0,bottom,D1,,,Diode_1N4148-SOD123,C81598,smt
-22.5,-44.0,90.0,bottom,D10,,,Diode_1N4148-SOD123,C81598,smt
-19.5,-44.0,90.0,bottom,D11,,,Diode_1N4148-SOD123,C81598,smt
-16.5,-44.0,90.0,bottom,D12,,,Diode_1N4148-SOD123,C81598,smt
-16.5,-51.0,90.0,bottom,D13,,,Diode_1N4148-SOD123,C81598,smt
-19.5,-51.0,90.0,bottom,D14,,,Diode_1N4148-SOD123,C81598,smt
-22.5,-51.0,90.0,bottom,D15,,,Diode_1N4148-SOD123,C81598,smt
-22.5,-62.0,90.0,bottom,D16,,,Diode_1N4148-SOD123,C81598,smt
-19.5,-62.0,90.0,bottom,D17,,,Diode_1N4148-SOD123,C81598,smt
-16.5,-62.0,90.0,bottom,D18,,,Diode_1N4148-SOD123,C81598,smt
22.5,-18.5,-90.0,bottom,D19,,,Diode_1N4148-SOD123,C81598,smt
-19.5,-11.5,90.0,bottom,D2,,,Diode_1N4148-SOD123,C81598,smt
22.5,-11.5,-90.0,bottom,D20,,,Diode_1N4148-SOD123,C81598,smt
19.5,-11.5,-90.0,bottom,D21,,,Diode_1N4148-SOD123,C81598,smt
16.5,-11.5,-90.0,bottom,D22,,,Diode_1N4148-SOD123,C81598,smt
19.5,-18.5,-90.0,bottom,D23,,,Diode_1N4148-SOD123,C81598,smt
16.5,-44.0,-90.0,bottom,D24,,,Diode_1N4148-SOD123,C81598,smt
22.5,-25.5,-90.0,bottom,D25,,,Diode_1N4148-SOD123,C81598,smt
19.5,-25.5,-90.0,bottom,D26,,,Diode_1N4148-SOD123,C81598,smt
16.5,-25.5,-90.0,bottom,D27,,,Diode_1N4148-SOD123,C81598,smt
16.5,-18.5,-90.0,bottom,D28,,,Diode_1N4148-SOD123,C81598,smt
22.5,-51.0,-90.0,bottom,D29,,,Diode_1N4148-SOD123,C81598,smt
-22.5,-11.5,90.0,bottom,D3,,,Diode_1N4148-SOD123,C81598,smt
19.5,-51.0,-90.0,bottom,D30,,,Diode_1N4148-SOD123,C81598,smt
16.5,-51.0,-90.0,bottom,D31,,,Diode_1N4148-SOD123,C81598,smt
22.5,-44.0,-90.0,bottom,D32,,,Diode_1N4148-SOD123,C81598,smt
19.5,-44.0,-90.0,bottom,D33,,,Diode_1N4148-SOD123,C81598,smt
16.5,-62.0,-90.0,bottom,D34,,,Diode_1N4148-SOD123,C81598,smt
19.5,-62.0,-90.0,bottom,D35,,,Diode_1N4148-SOD123,C81598,smt
22.5,-62.0,-90.0,bottom,D36,,,Diode_1N4148-SOD123,C81598,smt
-119.0,-31.7,-90.0,bottom,D37,,,Diode_1N4148-SOD123,C81598,smt
118.997865,-31.699937,-90.0,bottom,D38,,,Diode_1N4148-SOD123,C81598,smt
-16.5,-11.5,90.0,bottom,D4,,,Diode_1N4148-SOD123,C81598,smt
-22.5,-18.5,90.0,bottom,D5,,,Diode_1N4148-SOD123,C81598,smt
-16.5,-18.5,90.0,bottom,D6,,,Diode_1N4148-SOD123,C81598,smt
-22.5,-25.5,90.0,bottom,D7,,,Diode_1N4148-SOD123,C81598,smt
-19.5,-25.5,90.0,bottom,D8,,,Diode_1N4148-SOD123,C81598,smt
-16.5,-25.5,90.0,bottom,D9,,,Diode_1N4148-SOD123,C81598,smt
115.0,-64.9,90.0,bottom,H1,,,Hole_M2-solder-nut-2.5,MountingHole,tht
74.0,-64.9,90.0,bottom,H2,,,Hole_M2-solder-nut-2.5,MountingHole,tht
-115.0,-64.9,-90.0,bottom,H3,,,Hole_M2-solder-nut-2.5,MountingHole,tht
-74.0,-64.9,-90.0,bottom,H4,,,Hole_M2-solder-nut-2.5,MountingHole,tht
